stableEventId,module,trigger,tickOrState,soundIntent,spatialMode,anchor,socketId,mixerBus,priority,maxConcurrent,cooldownSeconds,soundminerQuery,candidateFiles,editTask,finalResource,acceptanceStatus,sourcePath,sourceLibrary,sourceHash
presentation.fei.secondary.charge.hold.0,Fei,secondary charge held layer,ChargeEnter tick 0 through ChargeLoop,restrained magical energy loop that sustains charge without masking warnings,WorldPositioned,OwnerSocket,weapon.secondary.muzzle,SFX,85,1,0.15,game magic sci fi arcane energy charge loop hum pulse sustained power,"Fantasy Game 2 Magic Ice Charging Glassy Spin recid 9067 selected as pair 01; pairs 02-05 remain outside Unity","same-source central extraction; 1.370s seamless loop; 80ms loop crossfade; mono fold-down; no boundary fade; gentle saturation; normalize peak to -12dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Charge_Hold_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\10-魔法-Magic\Ice【冰】",Fantasy Game 2 / Epic Stock Media,45fe756f9ba186c169b32119d5f405b9fc5f5243e57146293463d6c9b2bd1419
presentation.fei.secondary.release.audio.0,Fei,secondary charge release,0,charged release punch from secondary muzzle,WorldPositioned,OwnerSocket,weapon.secondary.muzzle,SFX,75,2,0.1,game magic sci fi charged release muzzle burst,"KHRON Arcane Snap recids 2856-2859 and Anime Game Electric Magic Attack recids 17830/17866/17867; all seven approved","mono fold-down; 0.40-0.68s; 1ms fade-in; 14ms fade-out; +2dB transient contour over 75ms; gentle saturation; normalize peak to -4dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Charge_Release_01..07.wav,BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\神秘瞬发-Arcane Snap;F:\Audio\Epic Stock Media\【ESM】日式动漫游戏技能打斗类-Anime Game_Epic Stock Media\16-动漫游戏组件-Anime Game\魔法-Magic\Electric【电能】","Spells Variations Vol 1 / KHRON; Anime Game / Epic Stock Media",a80feaa6303d58ba88677ca1324c271411b8e5b7d4aa29829aeb5db0d028792e;a9e6f4123ccacf03156307bf050cb6cf5a483b6970e6e66d8d5a9b130619ee60;324fbe61bf98dd4952fec15e0e9c7927ad8d2a45e779e34ae95a49fe0da3d971;313ce070b3bec5bdb253fb1ee16dd23c257544422a1f3a478f78b4397d8572a2;6c0e9d93791f2edad839d82cec05d3baad4c65f19a06ff3505e9f4683633bae8;477746b26dfc77057a602ee2aa2274bd337abe1a231bb6eef92d23b9ce5c4d8a;3c491d56460ddd1dc32113d0787b4ca7a892e7a076e62f45a9d79d6ad854b575
presentation.fei.secondary.cancel.audio.0,Fei,secondary charge cancel,cancel,short cancel release punctuation,WorldPositioned,OwnerRoot,TBD,SFX,45,1,0.12,game sci fi charge cancel short cutoff,"Metroidvania deactivated synth-energy recids 21990/21989/21988 and Retro Game recids 5720/5748; all five approved","repair malformed source WAV headers into external work copies; mono fold-down; 0.46-0.66s; 2ms fade-in; 18ms fade-out; restrained transient contour; normalize peak to -8dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Charge_Cancel_01..05.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】横轴动作游戏类-Metroidvania Game SFX_Epic Stock Media\12-效果-Effect;F:\Audio\Epic Stock Media\【ESM】复古游戏类-Retro Game_Epic Stock Media","Metroidvania Game SFX / Epic Stock Media; Retro Game / Epic Stock Media",17b6b3e63ed38e341852e8cee13492f30ae39936bc33d8efe23270fade2a01aa;e9201ae42e80c8c31dc93c60945bbd9c4f748184739b1bce563852b74bf12bd6;83e2619f4159532cb5f65d0fe1961c5237f6a0253240dd21fab25ed682e9decf;e48728c5c7d5350558e29ff5cea04f49a1f3fb4b69e1ba624cb2bb242d5c8fa0;9b22acfa31fc953a13b30072fa1e7e7f3c1bcee2343a7f32ccfe4334e8e2ba7f
event.fei.secondary.release.impact.base,Fei,secondary charged impact,hit,clean charged projectile impact base,WorldPositioned,OwnerRoot,TBD,SFX,50,3,0.1,game magic sci fi charged impact short burst,"Fantasy Game 2 Magic Ice Impact Charged Large Hit 02; recid 9073; candidate pair 02 selected; pairs 01/03 remain outside Unity","trim directly onto the main hit; mono fold-down; 0.680s; 1ms fade-in; 18ms fade-out; +1.75dB transient contour over 75ms; gentle saturation; normalize peak to -4dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Charge_Hit_02.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\10-魔法-Magic\Ice【冰】",Fantasy Game 2 / Epic Stock Media,f2f6b24eec7fd872483fc4b4221a9128dc8ab16d4a48bbd5dc585bc5b9b93b9b
event.fei.secondary.release.impact.weakpoint,Fei,secondary charged weakpoint,hit,bright reinforced charged weakpoint impact,WorldPositioned,OwnerRoot,TBD,SFX,75,2,0.12,derived from approved Magic Ice charged impact pair 02,"SFX_Fei_Secondary_Charge_Weakpoint_02.wav; derived from selected candidate pair 02; pairs 01/03 remain outside Unity","derive from paired base source; add same-source +5 semitone layer at -10dB with 2ms delay; +3.5dB transient contour over 65ms; stronger saturation; normalize peak to -2.75dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Charge_Weakpoint_02.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.fei.secondary.release.impact\SFX_Fei_Secondary_Charge_Hit_02.wav,Derived from Fantasy Game 2 / Epic Stock Media,f2f6b24eec7fd872483fc4b4221a9128dc8ab16d4a48bbd5dc585bc5b9b93b9b
event.burstbug-interceptable-volley.telegraph,Burstbug,volley telegraph,0-66,three-stage digital scan warning that clearly announces an interceptable volley,WorldPositioned,OwnerRoot,attack.origin,SFX,75,1,0.2,designed game arcade sci fi digital scan rise alert signal beep short,"Metroidvania scan recids 21994/22007/22008 layered with BOOM signal beep recids 19962/19963/19964; all three approved","per-sibling digital scan layer; three ascending mid-frequency signal pulses; mono fold-down; DC removal; 2ms fade-in; 12ms fade-out; normalize peak to -5dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Volley_Telegraph_01..03.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】横轴动作游戏类-Metroidvania Game SFX_Epic Stock Media\12-效果-Effect; F:\Audio\BOOM LIBRARY\FX65-未来科幻界面-Future Technology_Boom Library","Metroidvania Game SFX / Epic Stock Media; Future Technology / BOOM Library","dc5dbd3c02c30746475255a54e60582373c86475871ce6cb99a574c134bd135d;b12e9c58ea00ab5ee9c0c4e0897ba2e383beebd19c9a49dfc28dd39a3a625db3;273ae9b7ee1ff4b587fde68acc5d33165ddf9bcb3fcc13fc0a00c5d3e391ec37;a245bfc2302e76cfa670a4d4b2357afcb32fcbccc15667b735b21ff647331fd0;8b14c05b777d35296fb333f4ce075504566dde1a3cb25addb5892a9393189d2a;c9f50fc2ff31454919771db6cf0599d1994ab79fb0a60d62d8378c9878ee1adc"
event.burstbug-interceptable-volley.release,Burstbug,volley release,66,compact three-shot magical-electric release punctuation,WorldPositioned,OwnerRoot,attack.origin,SFX,65,3,0.08,magic electric quick snipe attack precise short whistle sharp punchy crisp spark crackle,"Fantasy Game 2 Magic Electric Quick Snipe siblings recids 8937/8938/8939/8967/8968; all five approved","each sibling layered as a rising three-shot burst at -1.5/0/+1.5 semitones and 0/72/144ms; crop to 0.420s; mono fold-down; DC removal; 1ms fade-in; 12ms fade-out; transient boost; normalize peak to -4.5dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Volley_Release_01..05.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\10-魔法-Magic\Electric【电子产品】","Fantasy Game 2 / Epic Stock Media","6759fc267c5d4773f567afeb1d9623018bec30c8a7f83baff9ff47588f807134;c604b3771aa5de43d315e55d7e45029767876b975d4e84bb39561d84efbe1a9f;136fa343a83f972e0af3f3cde52d266a90a980485dadfd220e9fc82d135231b5;c4d24d767b397873e986b94ae3694af931f164aac5c0295b5a329a4afb3b801f;0e25134b34d345d0c80e873a546ac897ced88e7ef149fa21241dd88a67e515df"
event.burstbug-interceptable-volley.projectile,Burstbug,volley projectile,66,light enchanted chime identity for the three interceptable projectiles,WorldPositioned,OwnerRoot,attack.origin,SFX,35,3,0.05,game arcade cartoon magic energy projectile flight chime buzz whoosh short light,"KHRON Little Chime of Enchanted Speed recids 2969/2970/2968/2960/2961/2962; all six approved","per-sibling crop to at most 0.620s; mono fold-down; DC removal; 2ms fade-in; 18ms fade-out; subtle transient boost; normalize peak to -9dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Volley_Projectile_01..06.wav,BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\魔法速度的小铃铛-Little Chime of Enchanted Speed","Spells Variations Vol 1 / KHRON","10fd66b1dfe94bfc95d11532ff3b995b4fbf09d0420ecf2259ff4c371778f59c;2b75c716c7cf7ef3dd0a45955cda90246e9a31bff6789e22106f7263abe0512a;3d143bab8aec36c44216f86bc0bc22d381283851c200ab2cf80c9fadba810bf9;04b3ad6ef940e9754e7258c83474aedf4afedf02af1ee88c77f262dad4f6d562;11ff775d35b4a003ba83e9aab18c7df6b405ca4bbee13af82d18dd73f2bb6d46;c4cc8499c53b7b02f98d2c96baa1774fe4e21a12b61a40869ac287bc42fff788"
event.burstbug-interceptable-volley.interception,Burstbug,volley interception,intercepted,crisp positive arcade punctuation for destroying an interceptable projectile,WorldPositioned,OwnerRoot,impact.position,SFX,70,2,0.08,game arcade cartoon magic projectile interception deflect burst pop spark positive short crisp,"Epic Retro Game Simple Impact recids 5589/5590/5591 layered with KHRON enchanted chime recids 2969/2970/2968; all three approved","impact layer +1.5 semitones; quiet chime layer +7 semitones at 12ms; crop to 0.300s; mono fold-down; DC removal; 1ms fade-in; 10ms fade-out; transient boost; normalize peak to -5dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Volley_Interception_01..03.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】复古游戏类-Retro Game_Epic Stock Media\03-打击和武器-Impacts And Weapon; F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\魔法速度的小铃铛-Little Chime of Enchanted Speed","Retro Game / Epic Stock Media; Spells Variations Vol 1 / KHRON","71c6dbc907960055129095956a7cd516f2439ccdcec8c16a3bca7e8da4ce2d02;7d7bab50838287b2eedc3380157e3dbd5f51de3fe0bc7f54ef6d47a01d1943a4;524f0e10e2e9ed76a6d3bf350b16aad302cefcbc6ea8b6e149e80a369b69a47b;10fd66b1dfe94bfc95d11532ff3b995b4fbf09d0420ecf2259ff4c371778f59c;2b75c716c7cf7ef3dd0a45955cda90246e9a31bff6789e22106f7263abe0512a;3d143bab8aec36c44216f86bc0bc22d381283851c200ab2cf80c9fadba810bf9"
event.burstbug-interceptable-volley.impact,Burstbug,volley impact,hit,compact magical projectile explosion without the Fast Hit needle layer,WorldPositioned,OwnerRoot,impact.position,SFX,45,3,0.08,game arcade cartoon magic energy projectile impact blast burst explosion short tight,"KHRON Little Arcane Blast recids 2693/2694/2691/2692/2695/2696; all six approved","per-sibling crop to 0.360s; mono fold-down; DC removal; 1ms fade-in; 10ms fade-out; transient boost; light saturation; normalize peak to -5dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Volley_Impact_01..06.wav,BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\小奥术冲击-Little Arcane Blast","Spells Variations Vol 1 / KHRON","c1acce3d0b6c3ad73048d9a668da2cd4c06b901be40014f95d5e197bc46b3b9d;59166f3359d34998d1a63b9fc2e1791bc01ece998723fe52408e44aae7a3bef7;1b82342628981d20600569c1c4e71ca927746b0dfacc3129268ec17989145a6d;78cdb937618e729e89226cda7c6529e814ef43ba0846d4ae2e28f1e22cbffd81;f5172beadf53326d2090070b166be0ef8f881abbeec6a93f0019214174d4f85e;63c09140bc436ee07cecf0e37f95bff2862753eb487720ff1c636b83ed568441"
event.burstbug-heavy-weakpoint-break.telegraph,Burstbug,heavy telegraph,0-135,heavy attack warning,WorldPositioned,OwnerRoot,attack.origin,SFX,80,1,0.2,game arcade heavy enemy warning sci fi charge,"Anime Game Water Heavy Charge recids 18020/18021/18046/18064; all four approved","crop each sibling before its main burst; mono fold-down; 2ms fade-in; 24ms fade-out; transient contour; normalize peak to -5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Heavy_Telegraph_01..04.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】日式动漫游戏技能打斗类-Anime Game_Epic Stock Media\16-动漫游戏组件-Anime Game\魔法-Magic\Water【水】",Anime Game / Epic Stock Media,"41e0e81d94f524f993bb9fb40fbd7b0302c8cc187030bb7a307c61cc87efdda4;172812807c563c16793b5f087ce0e771305d5a46250fb650658329c64d4cd021;0c7aa2e8be86bf2b38e5285735bbecb9855663d9239e738c6a638a0b0a097913;0e1edd787caab4c7f93172798093c838132283564f7ccdda0b6a69e5911580d2"
event.burstbug-heavy-weakpoint-break.danger-tick,Burstbug,heavy danger tick,authored warning ticks,visible danger countdown punctuation,WorldPositioned,OwnerRoot,attack.origin,SFX,85,1,0.12,game arcade danger tick escalating warning,"BOOM Future Technology FX Signal Warning Fast recids 19931/19932/19933; all three approved","mono fold-down; 0.310s; 1ms fade-in; 10ms fade-out; restrained transient contour; normalize peak to -6dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Heavy_DangerTick_01..03.wav,BoundAndValidated,"F:\Audio\BOOM LIBRARY\FX65-未来科幻界面-Future Technology_Boom Library",Future Technology / BOOM Library,"7609d238d20bc93e3cb52926edefee0904d26eb82368e278fd1a1328884b3c6f;4861d2b1e2dc66a30b4f36bdd779d53fa2e8991c8abe280ff3940a182e1f0c93;c84a776385d30415c02148899daa8fe064e98780d8ac72d01c4957833c6e85aa"
event.burstbug-heavy-weakpoint-break.release,Burstbug,heavy release,135,heavy attack release,WorldPositioned,OwnerRoot,attack.origin,SFX,65,1,0.12,game arcade heavy enemy release burst,"main bursts paired from Anime Game Water Heavy Charge recids 18020/18021/18046/18064; all four approved","crop directly onto each paired main burst; mono fold-down; 0.460s; 1ms fade-in; 14ms fade-out; transient contour and gentle saturation; normalize peak to -4dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Heavy_Release_01..04.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】日式动漫游戏技能打斗类-Anime Game_Epic Stock Media\16-动漫游戏组件-Anime Game\魔法-Magic\Water【水】",Anime Game / Epic Stock Media,"41e0e81d94f524f993bb9fb40fbd7b0302c8cc187030bb7a307c61cc87efdda4;172812807c563c16793b5f087ce0e771305d5a46250fb650658329c64d4cd021;0c7aa2e8be86bf2b38e5285735bbecb9855663d9239e738c6a638a0b0a097913;0e1edd787caab4c7f93172798093c838132283564f7ccdda0b6a69e5911580d2"
event.burstbug-heavy-weakpoint-break.impact.base,Burstbug,heavy impact,135,heavy impact base,WorldPositioned,OwnerRoot,impact.position,SFX,55,2,0.12,game arcade explosion magic heavy impact short,"Fantasy Game 2 Magic Electric Punch recids 8940/8941/8942/8943; all four approved","per-sibling onset crop; mono fold-down; 0.520s; 1ms fade-in; 14ms fade-out; +2dB transient contour over 70ms; gentle saturation; normalize peak to -4dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Heavy_Impact_01..04.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\10-魔法-Magic\Electric【电子产品】",Fantasy Game 2 / Epic Stock Media,"8b4f339b19baab12739ebe272a9046ae2823a60bfb01355d1753a8b093850874;e2ce2e660f10fdae580fd8cbcc45b1384023ec2deca1ba91eeb8c1e655622e61;e7a4778c32cb5d7bdcd317271669db273ce38f48ed452f1a1df92f3db5ec2841;ed6cbad868903a566e06515a9172dc9687318f0e09f7760df34c2818d620f25a"
event.burstbug-heavy-weakpoint-break.impact.weakpoint,Burstbug,heavy weakpoint,135,heavy reinforced weakpoint break,WorldPositioned,OwnerRoot,impact.position,SFX,80,2,0.15,game arcade explosion metal energy weakpoint break,"paired reinforced derivatives of C04 base candidates 01-04; all four approved","layer each paired base source with its own +5 semitone copy at -9dB and 2ms delay; +3.5dB transient contour over 65ms; stronger saturation; 0.520s mono; normalize peak to -2.75dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Burstbug_Heavy_Weakpoint_01..04.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.burstbug-heavy-weakpoint-break.impact.base,Derived from Fantasy Game 2 / Epic Stock Media,"4060be46bbf0a0b68592b68c8b64e18eec2a7cd1115c37305bcb6a0437b3cc9d;8b0427cc5d719b8ff1574c48bd9566b9aa16d059ed697a84df706858cce990dc;4858f1810e4964f60cad13409454167dda6b461a12a3d622db922305494be6a3;07e3ce5ad37e88a1615034aa2dba4e3e4a9c92501662918600d3b9058c45c235"
event.hudie-projectile.launch,Hudie,projectile launch,49,Hudie projectile launch identity,WorldPositioned,OwnerRoot,,SFX,50,2,0.08,game arcade magic fairy butterfly projectile launch cast spark pulse whoosh short,"Phantom Magic cast-whoosh recids 10630/10631/10618/10607 layered with paired Anime Game electric flutter recids 17864/17863/17856/17857; all four retained","per-pair mono fold-down; flutter layer +3 semitones at -13dB with 6ms delay; crop to 0.420s; 1ms fade-in; 14ms fade-out; transient contour; light saturation; normalize peak to -6dBFS; 48kHz/24-bit","Assets/FPGDemo/Audio/Forest/SFX/SFX_Hudie_Projectile_Launch_01..04.wav",BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】幻影魔法类-Phantom Magic_Epic Stock Media\12-魔法划过-Spell Whooshes; F:\Audio\Epic Stock Media\【ESM】日式动漫游戏技能打斗类-Anime Game_Epic Stock Media\16-动漫游戏组件-Anime Game\魔法-Magic\Electric【电能】",Phantom_Magic + Anime Game / Epic Stock Media,"d0f623f5f46e3fe11eb8a11cbb860bab831bf325a35b3c8d69eea11143fff4b3;09457e518eef198eae0681f1014103dfeea433f853b196527677680747ecd29d;7971d715837d0690ad8471c60a9bbac729ab69a80955b643e895f5cba518ac3d;4cb68c713524999301122efbd84490d6c30e3a94f549d26b69b0b82057431034;04674f0503b4c2409ad013e5a4e58839242e98db7bb9d2920119a938b70feef2;3a8732bed19c8a9436672c1d79e14c9adf7873cd5a40898bf9b3c39a345a705d;dc45b0be8265617fb6c6687ca7200e3395e3a8796fd1ae37f24d653fc502a3e7;4dede0491eb6f500b0c56f661f7e373dd31dd598b28eaa3ddfd29a3b75a8dc79"
event.hudie-projectile.flight,Hudie,projectile flight,49,distinct Hudie projectile flight,WorldPositioned,OwnerRoot,,SFX,25,2,0.05,game arcade magic butterfly fairy flutter wing buzz shimmer projectile flight loop short,"Anime Game Magic Electric Static Malfunction Zap Glitch Shock Solo Flutter recids 17864/17863/17856/17857/17872; all five retained","per-sibling mono fold-down; crop to 0.580s to match the 36-tick flight window; 3ms fade-in; 24ms fade-out; restrained transient contour; light saturation; normalize peak to -9dBFS; 48kHz/24-bit","Assets/FPGDemo/Audio/Forest/SFX/SFX_Hudie_Projectile_Flight_01..05.wav",BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】日式动漫游戏技能打斗类-Anime Game_Epic Stock Media\16-动漫游戏组件-Anime Game\魔法-Magic\Electric【电能】",Anime Game / Epic Stock Media,"04674f0503b4c2409ad013e5a4e58839242e98db7bb9d2920119a938b70feef2;3a8732bed19c8a9436672c1d79e14c9adf7873cd5a40898bf9b3c39a345a705d;dc45b0be8265617fb6c6687ca7200e3395e3a8796fd1ae37f24d653fc502a3e7;4dede0491eb6f500b0c56f661f7e373dd31dd598b28eaa3ddfd29a3b75a8dc79;4cce2eae6a4a9cc675c4ca74aa2ae49b7797d73d26d704cc9fde4d2e99833250"
event.hudie-projectile.impact.base,Hudie,projectile impact,hit,Hudie impact base,WorldPositioned,OwnerRoot,,SFX,40,2,0.08,game anime magic spell projectile attack hit impact short bubbly tonal debuff piercing rich layered crisp pop burst,"Anime Game Bubbly Deep Tonal Debuff Impact recids 17917/17989/17990/17991; all four retained","per-sibling mono fold-down; trim to main impact at 0.17-0.25s; crop to 0.340s; 1ms fade-in; 12ms fade-out; transient contour; light saturation; normalize peak to -6dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Hudie_Projectile_Impact_01..04.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.hudie-projectile.impact.base,Anime Game / Epic Stock Media,"f5954a421f09b87d8fe969c57e8e2fe3e35b76ebafb5cc24d7a2af4d59bfe38a;0df1bb6ade429a5e95acb9c338fa0d5eff1553a4bacf0c76185e45f93d44dbd7;826a0ee78d0590266a7645da3553f4955cd7c67b886cb401d357969f8b3c47aa;9d203afe6095f15fe97d0064a504d40a19550df8c0f6aac32746044ea97068bc"
event.hudie-projectile.impact.weakpoint,Hudie,projectile weakpoint,hit,Hudie reinforced weakpoint impact,WorldPositioned,OwnerRoot,,SFX,60,2,0.1,game anime magic spell projectile attack hit impact short bubbly tonal debuff piercing rich layered bright crisp spark,"paired reinforced derivatives of Anime Game recids 17917/17989/17990/17991; all four retained","same source and trim as paired base; add a -10dB same-source layer pitched +5 semitones with 2ms delay; stronger transient contour; light saturation; normalize peak to -5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Hudie_Projectile_Weakpoint_01..04.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.hudie-projectile.impact.weakpoint,Derived from Anime Game / Epic Stock Media,"f5954a421f09b87d8fe969c57e8e2fe3e35b76ebafb5cc24d7a2af4d59bfe38a;0df1bb6ade429a5e95acb9c338fa0d5eff1553a4bacf0c76185e45f93d44dbd7;826a0ee78d0590266a7645da3553f4955cd7c67b886cb401d357969f8b3c47aa;9d203afe6095f15fe97d0064a504d40a19550df8c0f6aac32746044ea97068bc"
event.luan-summon.telegraph,Luan,summon telegraph,tick 0-44,compact magical summon charge and rise,WorldPositioned,OwnerRoot,,SFX,70,1,0.18,game anime arcade magic summon telegraph portal charge rise shimmer pulse warning short,"Anime Game Summon Shine Cast Bubble Charged Energy Blast Burst recids 17913/17934/17943/17944/17953/17954/17955; all seven paired telegraph siblings retained","split each sibling before its measured main burst; 0.540-0.720s mono to fit the 44-tick warning window; 2ms fade-in; 14ms fade-out; restrained transient contour and saturation; normalize peak to -6dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Luan_Summon_Telegraph_01..07.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.luan-summon.telegraph,Anime Game / Epic Stock Media,"6dd6fda657579995c16eb29b57604ef7ffa9ca3b208fbac52e901d35aed238b5;add815f02b370d88a2e99dd7ec0bc006f54dddbe3e81dc586f6eaf4496e2deb6;5e963248c301ed8d4fb0a00b0501cdf36379b980cc9c8964716f8341f961517b;17c048044493d29327347f04feac8735d2b2ce5cf5bd590645eed2bd9225b8c4;9f500f8a82862158fec68ee11f163aa83bb5311ce086f5c4abfec980f8014b8d;4c6352c2441e737ef406542cdeab1f3c2722b2507a4b91ffe2b59f55065f15ca;b198fb22a340bf5f0c98806c4a402aa08d9b826875b9a62134f8002d8bc6cf71"
event.luan-summon.commit,Luan,summon commit,tick 44,Hudie appearance materialize punctuation,WorldPositioned,OwnerRoot,,SFX,55,1,0.15,game anime arcade magic summon appearance materialize teleport portal burst sparkle poof short,"paired main bursts from Anime Game recids 17913/17934/17943/17944/17953/17954/17955; all seven paired commit siblings retained","split each sibling at its measured main appearance burst; 0.680s mono; 1ms fade-in; 18ms fade-out; stronger transient contour and light saturation; normalize peak to -5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Luan_Summon_Commit_01..07.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.luan-summon.commit,Anime Game / Epic Stock Media,"6dd6fda657579995c16eb29b57604ef7ffa9ca3b208fbac52e901d35aed238b5;add815f02b370d88a2e99dd7ec0bc006f54dddbe3e81dc586f6eaf4496e2deb6;5e963248c301ed8d4fb0a00b0501cdf36379b980cc9c8964716f8341f961517b;17c048044493d29327347f04feac8735d2b2ce5cf5bd590645eed2bd9225b8c4;9f500f8a82862158fec68ee11f163aa83bb5311ce086f5c4abfec980f8014b8d;4c6352c2441e737ef406542cdeab1f3c2722b2507a4b91ffe2b59f55065f15ca;b198fb22a340bf5f0c98806c4a402aa08d9b826875b9a62134f8002d8bc6cf71"
event.luan-summon.self-destruct.1,Luan,owner self destruct,71,short magical owner self-destruct punctuation,WorldPositioned,OwnerRoot,,SFX,50,1,0.2,game anime arcade magic spell energy self destruct explosion blast burst pop short,"Anime Game Magic Fire Blast Light 01-04 recids 17899/17907/17909/17884; all four siblings retained","mono fold-down; crop to 0.620s around the immediate designed burst; 1ms fade-in; 20ms fade-out; restrained transient contour and saturation; normalize peak to -5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Luan_SelfDestruct_01..04.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.luan-summon.self-destruct.1,Anime Game / Epic Stock Media,"e390317919b7ef67ac96e50f9283bba9f2c4a026f25bed655bbb249362ca4457;01fcff7e5cf98533910e89c8ab94dcdca756c3f398fbd232a6630bb76af08d68;967755cef6599d973ddd659990575d755b27152fce738f921bb4b28e0e97c363;ae44619d45100ca17d72bdde425b6278885b8bd775533189aacb23de915e5f27"
event.enemy.spawn,Enemy,lifecycle,spawn,enemy spawn feedback,WorldPositioned,OwnerRoot,TBD,SFX,30,3,0.1,game arcade enemy spawn materialize burst,"Retro Game Enemy Spawn 10 / Teleport 1 / Spawn 7 / Spawn 8; recids 5813/5814/5810/5811; all four retained","mono fold-down; crop to 0.360-0.440s around the active appearance body; 1ms fade-in; 14ms fade-out; restrained transient contour and saturation; normalize peak to -6dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Enemy_Spawn_01..04.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.enemy.spawn,Retro_Game_24bit / Epic Stock Media,"f3b8e20f6a18be8f104b760fd55616d93212b9aa189349b0cba314c63e4d55fd;1a11f1494670bc0899e006c6d51dcaa2d9e1ca621637e761efa7f00e94f56b77;53bc460439e6e8cd3c0058832e23ef3c369e172bd527ecd60a13ad07cce1d263;6b4bef5f37d924ba58657f5109ab9967ccfc21ca77531f10d3535e1976604177"
